id,name,height_m,lat,lon,gridref,region
28,Binnein Mòr,1129.4,56.75438,-4.92529,NN212663,Fort William to Loch Treig & Loch Leven
29,Creag Meagaidh,1128.1,56.95208,-4.60195,NN418875,Loch Lochy to Loch Laggan
30,An Riabhachan,1127.7,57.36216,-5.10493,NH133344,Killilan to Inverness
31,Ben Cruachan,1127.0,56.42665,-5.13203,NN069304,Glen Etive to Glen Lochy
32,Meall Garbh,1123.1,56.56607,-4.2075,NN644437,Glen Lyon to Glen Dochart & Loch Tay
33,Beinn a' Ghlo - Càrn nan Gabhar,1121.9,56.84018,-3.68751,NN971733,Pitlochry to Braemar & Blairgowrie
34,A' Chraileag,1119.2,57.18385,-5.1545,NH094147,Glen Affric to Glen Moriston
35,An Stuc,1117.1,56.56051,-4.21694,NN638431,Glen Lyon to Glen Dochart & Loch Tay
36,Stob Coire an Laoigh,1116.7,56.81104,-4.88547,NN239725,Fort William to Loch Treig & Loch Leven
37,Stob Coire Easain,1116.2,56.81809,-4.77292,NN308730,Fort William to Loch Treig & Loch Leven
38,Sgor Gaoith,1116.0,57.06849,-3.81003,NN903989,Cairngorms
39,Aonach Beag (Ben Alder),1115.8,56.83314,-4.52975,NN457741,Loch Treig to Loch Ericht
40,Monadh Mòr,1113.4,57.0271,-3.75035,NN938942,Cairngorms
41,Tom a' Choinich,1112.7,57.29973,-5.04819,NH164273,Loch Duich to Cannich
42,Càrn a' Choire Bhoidheach,1109.9,56.94572,-3.27307,NO226845,Braemar to Montrose
43,Sgurr nan Conbhairean,1109.0,57.17722,-5.09601,NH129138,Glen Affric to Glen Moriston
44,Sgurr Mòr (Fannaichs),1108.9,57.70045,-5.01633,NH203718,The Fannaichs
45,Meall a' Bhuiridh,1107.9,56.61227,-4.85235,NN250503,Glen Etive to Glen Lochy
46,Stob a' Choire Mheadhoin,1106.6,56.82376,-4.76023,NN316736,Fort William to Loch Treig & Loch Leven
47,Beinn Ghlas,1103.4,56.5359,-4.23665,NN625404,Glen Lyon to Glen Dochart & Loch Tay
48,Beinn Eibhinn,1103.3,56.82569,-4.54237,NN449733,Loch Treig to Loch Ericht
49,Mullach Fraoch-choire,1100.9,57.20538,-5.15633,NH094171,Glen Affric to Glen Moriston
50,Creise,1099.8,56.61451,-4.87208,NN238506,Glen Etive to Glen Lochy
51,Sgurr a' Mhaim,1099.0,56.75611,-5.00397,NN164667,Fort William to Loch Treig & Loch Leven
52,Sgurr Choinnich Mòr,1094.0,56.80071,-4.90433,NN227714,Fort William to Loch Treig & Loch Leven
53,Sgurr nan Clach Geala,1093.4,57.6961,-5.04786,NH184714,The Fannaichs
54,Bynack More,1090.4,57.13801,-3.58537,NJ041063,Cairngorms
55,Stob Ghabhar,1089.2,56.56845,-4.88161,NN230455,Glen Etive to Glen Lochy
56,Beinn a' Chlachair,1087.8,56.8695,-4.50924,NN471781,Loch Treig to Loch Ericht
57,Beinn Dearg (Ullapool),1084.0,57.78608,-4.92925,NH259811,Loch Broom to Strath Oykel
58,Sgurr a' Choire Ghlais,1083.7,57.44426,-4.90352,NH258430,Kyle of Lochalsh to Garve
59,Schiehallion,1083.3,56.66677,-4.10078,NN713547,Loch Rannoch to Glen Lyon
60,Beinn a' Chaorainn (Cairngorms),1083.3,57.0932,-3.57686,NJ045013,Cairngorms
61,Beinn a' Chreachain,1080.6,56.56016,-4.64822,NN373440,Loch Rannoch to Glen Lyon
62,Ben Starav,1079.5,56.53925,-5.05021,NN125427,Glen Etive to Glen Lochy
63,Beinn Heasgarnich,1077.4,56.51037,-4.57972,NN413383,Glen Lyon to Glen Dochart & Loch Tay
64,Beinn Dorain,1076.0,56.50283,-4.72223,NN325378,Loch Rannoch to Glen Lyon
65,Stob Coire Sgreamhach,1071.6,56.63819,-5.0109,NN154536,Loch Linnhe to Loch Etive
66,Beinn a' Ghlò - Bràigh Coire Chruinn-bhalgain,1070.0,56.83152,-3.72974,NN945724,Pitlochry to Braemar & Blairgowrie
67,An Socach (Mullardoch),1069.6,57.35003,-5.15877,NH100332,Killilan to Inverness
68,Sgurr Fhuaran,1068.7,57.19592,-5.34761,NG978166,Loch Duich to Cannich
69,Glas Maol,1067.7,56.87283,-3.36904,NO166765,Braemar to Montrose
70,Meall Corranaich,1067.2,56.54099,-4.25321,NN615410,Glen Lyon to Glen Dochart & Loch Tay
71,Cairn of Claise,1063.1,56.89383,-3.33861,NO185788,Braemar to Montrose
72,An Teallach - Bidein a' Ghlas Thuill,1062.6,57.80695,-5.25254,NH068843,Loch Maree to Loch Broom
73,An Teallach - Sgurr Fiona,1058.7,57.8005,-5.25869,NH064836,Loch Maree to Loch Broom
74,Liathach - Spidean a' Choire Leith,1054.8,57.56405,-5.46333,NG929579,Loch Torridon to Loch Maree
75,Na Gruagaichean,1054.2,56.74417,-4.93922,NN203652,Fort William to Loch Treig & Loch Leven
76,Toll Creagach,1053.7,57.309,-4.99913,NH194282,Loch Duich to Cannich
77,Sgùrr a' Chaorachain,1053.0,57.45263,-5.1893,NH087447,Kyle of Lochalsh to Garve
78,Stob Poite Coire Ardair,1052.5,56.96409,-4.58634,NN428888,Loch Lochy to Loch Laggan
79,Glas Tulaichean,1051.0,56.86613,-3.55744,NO051760,Pitlochry to Braemar & Blairgowrie
80,Geal Charn (Ardverikie),1049.7,56.8975,-4.45692,NN504811,Loch Treig to Loch Ericht
81,Sgurr Fhuar-thuill,1049.2,57.44965,-4.94229,NH235437,Kyle of Lochalsh to Garve
82,Beinn a' Chaorainn (Glen Spean),1049.1,56.92854,-4.65291,NN386850,Loch Lochy to Loch Laggan
83,Chno Dearg,1047.5,56.83042,-4.66072,NN377741,Loch Treig to Loch Ericht
84,Càrn an t-Sagairt Mòr,1047.0,56.94272,-3.30256,NO208842,Braemar to Montrose
85,Creag Mhòr,1046.8,56.48988,-4.61407,NN391361,Glen Lyon to Glen Dochart & Loch Tay
86,Ben Wyvis,1046.0,57.67865,-4.58002,NH462683,Loch Vaich to Moray Firth
87,Cruach Ardrain,1045.9,56.35677,-4.57581,NN409212,Loch Lomond to Strathyre
88,Beinn Iutharn Mhòr,1045.0,56.89475,-3.56848,NO045792,Pitlochry to Braemar & Blairgowrie
89,Stob Coir'an Albannaich,1044.9,56.55534,-4.97989,NN169443,Glen Etive to Glen Lochy
90,Meall nan Tarmachan,1043.6,56.52125,-4.30081,NN585389,Glen Lyon to Glen Dochart & Loch Tay
91,Càrn Mairg,1043.0,56.63454,-4.14627,NN684512,Loch Rannoch to Glen Lyon
92,Sgùrr na Cìche,1040.2,57.01318,-5.4564,NM902966,Knoydart to Glen Kingie
93,Meall Ghaordaidh,1039.8,56.52624,-4.41656,NN514397,Glen Lyon to Glen Dochart & Loch Tay
94,Sgurr a' Bhealaich Dheirg,1039.1,57.17777,-5.25163,NH035143,Loch Duich to Cannich
95,Càrn a' Mhaim,1039.1,57.03644,-3.6585,NN994951,Cairngorms
96,Beinn Achaladair,1038.6,56.55197,-4.69484,NN344432,Loch Rannoch to Glen Lyon
97,Gleouraich,1035.1,57.09723,-5.23796,NH039053,Glen Shiel to Loch Hourn and Loch Quoich
98,Càrn Dearg (Ossian),1034.1,56.85532,-4.45416,NN504764,Loch Treig to Loch Ericht
99,Beinn Fhada,1031.9,57.22099,-5.2836,NH018192,Loch Duich to Cannich
100,Am Bodach,1031.8,56.74133,-4.98316,NN176650,Fort William to Loch Treig & Loch Leven
101,Ben Oss,1029.8,56.3893,-4.77569,NN287253,Inveraray to Crianlarich
102,Càrn Gorm (Glen Lyon),1029.5,56.62237,-4.22546,NN635500,Loch Rannoch to Glen Lyon
103,Càrn an Rìgh,1029.0,56.87643,-3.59561,NO028772,Pitlochry to Braemar & Blairgowrie
104,Sgurr na Ciste Duibhe,1027.0,57.18094,-5.33632,NG984149,Loch Duich to Cannich
105,Sgurr a' Mhaoraich,1026.6,57.10561,-5.32955,NG984065,Glen Shiel to Loch Hourn and Loch Quoich
106,Beinn Challuim,1024.9,56.45471,-4.61977,NN386322,Glen Lyon to Glen Dochart & Loch Tay
107,Beinn a' Bheithir - Sgorr Dhearg,1024.2,56.65396,-5.17208,NN056558,Loch Linnhe to Loch Etive
108,Liathach - Mullach an Rathain,1023.9,57.56053,-5.4931,NG911576,Loch Torridon to Loch Maree
